唯一編碼,物業地址,全幢or大手,地盤面積,成交價,成交價(億港元),現樓面面積,現樓面呎價,可建樓面面積,重建呎價,地區,分類,入伙日期,照片,房間數目及每間售價,賣家,買家,資料來源,新聞連結,資料日期,備註,Date,地區_18區,數據年份,longitude_lands,latitude_lands,easting_lands,northing_lands
2021M009,英皇道1060號栢蕙苑高層地下（1060 King's Road）,大手,,2.6億港元,2.6,"20,277平方呎","12,822港元/平方呎",,,鰂魚涌,商場或商鋪或基座商鋪,4/12/1989,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2021M009.jpg,,麥當勞,HARBOUR ELITE HOLDINGS LIMITED,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/640697/%E9%BA%A5%E7%95%B6%E5%8B%9E2-6%E5%84%84%E6%B2%BD%E9%B0%82%E9%AD%9A%E6%B6%8C%E6%A0%A2%E8%95%99%E8%8B%91%E9%83%A8%E5%88%86%E8%88%96%E4%BD%8D-%E5%B8%B3%E8%B3%BA1-1%E5%84%84,2021-06-21,,21/6/2021,東區,2021,114.2133,22.2843,840026.4,816161.7
2021S010,南安街67至77號仲齊大廈全幢（67-77 Nam On Street）,全幢,"3,000平方呎",1.95億港元,1.95,,,"28,500平方呎","6,842港元/平方呎",筲箕灣,地盤（包括強拍）,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2021S010.jpg,,,英皇國際,市場消息,https://www.stheadline.com/property-live/2136682/%E8%8B%B1%E7%9A%87195%E5%84%84%E7%B5%B1%E4%B8%80%E4%BB%B2%E9%BD%8A%E5%A4%A7%E5%BB%88%E6%A5%AD%E6%AC%8A,2021-07-28,強拍,28/7/2021,東區,2021,114.2268,22.2787,841412.2,815534.4
2021P002,泰民街2-14號康翠臺共50個停車位（2-14 Tai Man Street）,大手,,0.6億港元,0.6,,,,,柴灣,車位或停車場大廈,5/7/1985,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2021P002.jpg,,新世界,,市場消息,https://ps.hket.com/article/3007542/%E6%96%B0%E4%B8%96%E7%95%8C%E6%B2%BD%E9%9D%9E%E6%A0%B8%E5%BF%83%E8%B3%87%E7%94%A2%20%20%E8%BF%916000%E8%90%AC%E8%B3%A3%E6%9F%B4%E7%81%A3%E5%BA%B7%E7%BF%A0%E8%87%BA%E5%81%9C%E8%BB%8A%E5%A0%B4?mtc=40001&srkw=%E5%BA%B7%E7%BF%A0%E5%8F%B0,2021-07-15,每個車位平均作價約119萬,15/7/2021,東區,2021,114.2352,22.2668,842276.2,814220.9
2020M002,筲箕灣東大街141至145號筲箕灣金基大廈基座舖位（141-145 Shau Kei Wan Main Street East）,大手,,2.5億港元,2.5,"19,701平方呎","12,690港元/平方呎",,,筲箕灣,商場或商鋪或基座商鋪,19/8/1975,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2020M002.jpg,,新地,劍橋護老院陸艾齡,市場消息,https://www1.hkej.com/dailynews/property/article/2495185/%E6%96%B0%E5%9C%B02.5%E5%84%84%E6%B2%BD%E6%9D%B1%E5%A4%A7%E8%A1%97%E5%95%86%E8%88%96,2020-06-16,,16/6/2020,東區,2020,114.2304,22.2783,841780.4,815497.7
2020M010,筲箕灣道407-409號筲箕灣中心地下部分連1樓（407-409 Shau Kei Wan Road）,大手,,3.2億港元,3.2,"24,638平方呎","12,988港元/平方呎",,,筲箕灣,商場或商鋪或基座商鋪,17/12/1982,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2020M010.jpg,,鄧成波家族,劉達泉,市場消息,https://finance.mingpao.com/fin/daily/20201009/1602185073403/%E9%84%A7%E6%88%90%E6%B3%A2%E5%AE%B6%E6%97%8F3-2%E5%84%84%E6%B2%BD%E7%AD%B2%E7%AE%95%E7%81%A3%E8%88%96-%E6%A5%9A%E7%95%99%E9%A6%99%E9%85%92%E6%A8%93%E8%88%8A%E5%9D%80-3%E5%B9%B4%E5%B9%B3%E6%89%8B%E9%9B%A2%E5%A0%B4,2020-10-09,,9/10/2020,東區,2020,114.2289,22.2771,841625.6,815358
2020F008,英皇道1111號太古城中心一座全幢（1111 King's Road）,全幢,,98.45億港元,98.45,"630,754平方呎","15,609港元/平方呎",,,鰂魚涌,商業,4/8/1997,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2020F008.jpg,,太古集團,基滙資本等組成的財團,市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/546494/%E5%A4%AA%E5%8F%A4%E5%9F%8E%E4%B8%AD%E5%BF%831%E5%BA%A798-45%E5%84%84%E5%94%AE%E5%87%BA-%E5%9F%BA%E6%BB%99%E8%B3%87%E6%9C%AC%E6%8E%A5%E8%B2%A8-%E5%B0%8D%E6%B8%AF%E5%89%8D%E6%99%AF%E5%85%85%E6%BB%BF%E4%BF%A1%E5%BF%83,2020-11-09,,9/11/2020,東區,2020,114.2178,22.2857,840488.8,816314.6
2020S011,柏架山道2-8號2幢物業全幢（2-8 Mount Parker Road）,全幢,"12,730平方呎",4.52億港元,4.52,,,,,鰂魚涌,地盤（包括強拍）,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2020S011.jpg,,,雅居樂,EPRC及市場消息,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/536187/%E9%A6%96%E5%80%8B%E5%85%AC%E5%8B%99%E5%93%A1%E5%90%88%E4%BD%9C%E7%A4%BE%E5%BC%B7%E6%8B%8D-%E9%9B%85%E5%B1%85%E6%A8%82%E5%BA%95%E5%83%B94-5%E5%84%84%E6%8A%95%E5%BE%97,2020-10-16,強拍,16/10/2020,東區,2020,114.2114,22.2845,839823.1,816183.1
2020S012,英皇道111號地盤（111 King's Road）,大手,"9,336平方呎",1.8億港元,1.8,,,,,北角,地盤（包括強拍）,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2020S012.jpg,,華信地產財務,旭輝地產公司,市場消息,https://hk.finance.yahoo.com/news/%E8%8F%AF%E4%BF%A1%E5%9C%B0%E7%94%A2%E8%B2%A1%E5%8B%99-00252-hk-%E8%AE%8A%E7%8F%BE%E5%8C%97%E8%A7%92%E5%9C%9F%E5%9C%B0-%E7%8D%B2%E5%88%A95-095915201.html,2020-10-24,,24/10/2020,東區,2020,114.1927,22.2874,837900.2,816497.7
2020F007,英皇道101和111號兩個地盤（101&111 King's Road）,大手,"20,797平方呎",18.8億港元,18.8,,,,,北角,地盤（包括強拍）,,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2020F007.jpg,,,旭輝控股、宏安地產,市場消息,https://finance.mingpao.com/fin/instantp/20201028/1603898068533/%E6%97%AD%E8%BC%9D%E4%BC%99%E5%AE%8F%E5%AE%8918-8%E5%84%84%E8%B3%BC%E5%85%A5%E7%82%AE%E5%8F%B0%E5%B1%B1%E7%89%A9%E6%A5%AD,2020-10-28,"屋宇署在2021年5月批出的建築圖則顯示，將興建1幢28層高商住大廈，另設1層地庫，總樓面面積為12.8萬平方呎，當中住宅樓面面積約123,082平方呎，非住宅樓面面積則約5,814平方呎。",28/10/2020,東區,2020,114.1926,22.2872,837885.5,816477.3
2019I001,嘉業街12號百樂門大廈18、19及20樓連天台及9個車位（12 Ka Yip Street ）,大手,,3.6億港元,3.6,"61,005平方呎",,,,柴灣,工業,30/3/1990,G:\ISYR2\Research\13_物業資訊與GIS應用\大手成交\現狀照片\已調整尺寸\2019I001.jpg,,香港電訊,,市場消息,https://ps.hket.com/article/2243167/%E9%A6%99%E6%B8%AF%E9%9B%BB%E8%A8%8A3.6%E5%84%84%E6%B2%BD%E6%9F%B4%E7%81%A33%E5%B1%A4%E5%B7%A5%E5%BB%88,2019-01-04,"市場消息：成交物業為柴灣嘉業街12號百樂門大廈18樓、19樓及20樓全層連天台及9個車位。每層面積約20,335平方呎，總面積約61,005平方呎。",4/1/2019,東區,2019,114.2443,22.2679,843220.1,814343.8
